source_id,jurisdiction_id,title,publisher,source_class,official_status,source_type,frequency,coverage_note,matter_types,measure_domains,format,access_method,language,source_url,licence_status,priority,last_verified,notes
INT-CEPEJ-STAT,INT,CEPEJ-STAT dynamic database,Council of Europe CEPEJ,international,official,database,biennial,Data from 2010 onward; latest cycle may lag,all justice; family detail varies,flow;timeliness;inputs;quality,interactive/database,web,English;French,https://www.coe.int/en/web/cepej/cepej-stat,unknown,high,2026-07-31,"General Council of Europe terms reviewed; citation and bounded attributed non-commercial website reuse are described, but no source-specific licence for bulk CEPEJ database extraction or redistribution was established. Review occurred 2026-08-01 Australia/Sydney (2026-07-31 UTC). See docs/methods/high-priority-source-rights-review-2026-08-01.md."
SWE-DOMSTOLSVERKET,SWE,Official court statistics,Swedish National Courts Administration,national,official,database,annual,All Swedish courts handling family-law cases; case-type and time coverage varies,divorce;custody;residence;contact;maintenance;paternity;parenthood;other family,flow;pending;timeliness;outputs,HTML;XLSX;CSV,web,Swedish;English,https://www.domstol.se/domstolsverket/om-sveriges-domstolar/statistik-styrning-och-utveckling/statistik/officiell-domstolsstatistik/,unknown,high,2026-07-31,"Official response 19fb724483ce3802 confirms all-court family-law coverage, filed/determined/pending/processing-time measures, machine-readable tables, and case-type grain. Exact reuse terms and matter mappings remain unresolved. Review occurred 2026-08-01 Australia/Sydney (2026-07-31 UTC)."
INT-CEPEJ-2024,INT,European judicial systems — 2024 evaluation cycle,Council of Europe CEPEJ,international,official,report,biennial,2022 data across participating states/entities,all justice; family detail varies,flow;timeliness;inputs;quality,HTML;PDF;tables,download,English;French,https://www.coe.int/en/web/cepej/special-file,restricted_or_unknown,high,2026-07-31,"Council of Europe terms require prior permission for publication/document reproduction beyond stated citation and excerpt exceptions; attributed non-commercial website reuse is narrower than general redistribution. Review occurred 2026-08-01 Australia/Sydney (2026-07-31 UTC). See docs/methods/high-priority-source-rights-review-2026-08-01.md."
INT-NCSC-COURTOOLS,INT,CourTools,National Center for State Courts,international_method,authoritative_method,performance_framework,irregular,Court performance definitions and implementation tools,general and family examples,flow;timeliness;experience;process,HTML;PDF,download,English,https://www.ncsc.org/our-centers-projects/courtools,restricted_or_unknown,high,2026-07-31,"NCSC directs users to its library to request copyright permission; no open licence was identified. Metadata and original GFJD definitions may be retained, while source content redistribution stays blocked. Review occurred 2026-08-01 Australia/Sydney (2026-07-31 UTC). See docs/methods/high-priority-source-rights-review-2026-08-01.md."
INT-NCSC-FAMILY,INT,Family justice performance measures,National Center for State Courts,international_method,authoritative_method,performance_framework,irregular,Family Justice Initiative measures,domestic relations,flow;timeliness;process;outcomes,HTML,web,English,https://www.ncsc.org/resources-courts/family-justice-performance-measures,restricted_or_unknown,high,2026-07-31,"NCSC directs users to its library to request copyright permission; no open licence was identified for the reviewed performance-measures page. Reproduction stays blocked. Review occurred 2026-08-01 Australia/Sydney (2026-07-31 UTC). See docs/methods/high-priority-source-rights-review-2026-08-01.md."
INT-HCCH-CA,INT,Child Abduction Section and statistics/publications,Hague Conference on Private International Law,international,official,portal,irregular,1980 Convention operation and country materials,international child abduction;access,flow;timeliness;outputs,HTML;PDF,web;download,English;French;Spanish,https://www.hcch.net/en/instruments/conventions/specialised-sections/child-abduction,restricted_or_unknown,high,2026-07-31,"HCCH permits attributed non-commercial reproduction of website information, but publication and digital-product terms are more restrictive; mixed portal/publication/database content requires edition-level routing. Review occurred 2026-08-01 Australia/Sydney (2026-07-31 UTC). See docs/methods/high-priority-source-rights-review-2026-08-01.md."
INT-WJP-A2J,INT,Global Insights on Access to Justice,World Justice Project,international,non_government,survey_dataset,irregular,2019 survey covering 101 countries,family legal problems among wider civil justice needs,access;resolution;experience;impact,HTML;PDF;interactive,web;download,English,https://worldjusticeproject.org/access-to-justice-data/,restricted_or_unknown,medium,2026-07-19,People-centred complement to court administrative data
GBR-EAW-MOJ-FAMILY-Q,GBR-EAW,Family Court Statistics Quarterly,"Ministry of Justice, England and Wales",national,official,statistical_release,quarterly,Quarterly and annual series with downloadable tables,divorce;private law children;public law children;adoption;domestic violence;probate,flow;timeliness;pending_age;outputs,HTML;ODS;CSV,download,English,https://www.gov.uk/government/collections/family-court-statistics-quarterly,open_licence_verified,high,2026-07-31,"Exact 2026 Q1 CSV archive acquired and checksummed; publication and guide state OGL v3 except where otherwise stated. Clearance is edition-bound and does not imply taxonomy mapping, completeness, or readiness."
AUS-FCFCOA-AR,AUS,Federal Circuit and Family Court of Australia annual reports,Federal Circuit and Family Court of Australia,national,official,annual_report,annual,Post-2021 court structure plus historical predecessor reports,parenting;financial;divorce;other family law,flow;clearance;timeliness;inputs;services,PDF;HTML,download,English,https://www.fcfcoa.gov.au/fcfcoa-annual-reports,commonwealth_copyright_check,high,2026-07-19,Use historical court reports for longer series
NZL-MOJ-RESEARCH-DATA,NZL,Research and data — court workloads and family data,New Zealand Ministry of Justice,national,official,data_portal,semiannual_or_annual,"Workloads, family data tables and waiting-time publications",family applications;protection orders;care of children;adoption,flow;timeliness;experience,HTML;XLSX;PDF,download,English,https://www.justice.govt.nz/justice-sector-policy/research-data/,crown_copyright_check,high,2026-07-19,Correct URL/licence order should be checked before ingestion
