adjudication_id,jurisdiction_id,source_edition_id,question_domain,question,source_definition_status,proposed_fail_closed_disposition,affected_contracts,owner_decision,independent_review_status,evidence_path
ADJQ-INT-001,INT,,ontology,"CEPEJ-STAT family categories and participating-system scope need mapping to the v0.3 matter dictionary.",landing_page_only,descriptive_only,"matter_type;comparability_tier",pending,pending,docs/methods/pilot-methods-adjudication.md
ADJQ-INT-002,INT,,clock,"CEPEJ timeliness fields and reporting period need a source-native clock definition before comparison.",landing_page_only,quarantine,"duration_clock;indicator",pending,pending,docs/methods/pilot-methods-adjudication.md
ADJQ-AUS-001,AUS,ED-AUS-FCFCOA-ANNUAL-2024-25,ontology,"The 2024-25 FCFCOA report's family-law application types and divisions need mapping to v0.3 matter types.",source_edition_preserved,descriptive_only,"matter_type;comparability_tier",pending,pending,data/raw/manifests/ACQ-AUS-FCFCOA-AR-20260801T051117Z-E251DA7A.json
ADJQ-AUS-002,AUS,ED-AUS-FCFCOA-ANNUAL-2024-25,denominator,"Clearance around 100% must be reconciled with the report's application-type denominator and reporting period.",source_edition_preserved,quarantine,"denominator;clearance_rate",pending,pending,data/raw/manifests/ACQ-AUS-FCFCOA-AR-20260801T051117Z-E251DA7A.json
ADJQ-USA-MN-001,USA-MN,,missingness,"Dashboard and report access constraints prevent a complete edition-level assessment; missingness and extraction reproducibility are unresolved.",access_constrained,exclude,"coverage_state;release_eligibility",pending,pending,data/census/search_log.csv
ADJQ-USA-MN-002,USA-MN,,ontology,"Family subtypes and performance measures require a dated dashboard export or accessible report before matter mapping.",access_constrained,descriptive_only,"matter_type;indicator",pending,pending,data/census/search_log.csv
ADJQ-BRA-001,BRA,ED-BRA-CNJ-JUSTICA-2026,ontology,"CNJ/DataJud classes and subjects need an attributed mapping to the v0.3 family matter dictionary.",source_edition_preserved,descriptive_only,"matter_type;comparability_tier",pending,pending,data/raw/manifests/ACQ-BRA-CNJ-DATAJUD-20260801T052351Z-3415D516.json
ADJQ-BRA-002,BRA,ED-BRA-CNJ-JUSTICA-2026,missingness,"The static 2026 report and dynamic DataJud panel may differ; snapshot date and revision treatment must be fixed.",source_edition_preserved,quarantine,"missingness;series_identity",pending,pending,data/raw/manifests/ACQ-BRA-CNJ-DATAJUD-20260801T052351Z-3415D516.json
ADJQ-ZAF-001,ZAF,ED-ZAF-JUDICIARY-ANNUAL-2024-25,ontology,"Maintenance and child-justice measures in the annual report are not equivalent to a complete family-law taxonomy.",source_edition_preserved,descriptive_only,"matter_type;coverage_state",pending,pending,data/raw/manifests/ACQ-ZAF-JUD-ANNUAL-20260801T051403Z-24991662.json
ADJQ-ZAF-002,ZAF,ED-ZAF-JUDICIARY-ANNUAL-2024-25,denominator,"Selected-court maintenance and child-justice rates require court-selection and denominator definitions before comparison.",source_edition_preserved,quarantine,"denominator;comparability_tier",pending,pending,data/raw/manifests/ACQ-ZAF-JUD-ANNUAL-20260801T051403Z-24991662.json
