enquiry_id,jurisdiction_id,priority,state,sent_at,closed_at,evidence_path,review_status,notes
ENQ-INT-001,INT,high,sent,2026-07-31T06:53:46Z,,docs/methods/direct-enquiries/INT-CEPEJ.md,reviewed,"Sent from the authenticated repository-owner Gmail account to the official CEPEJ Secretariat address; controlled-mailbox message 19fb6f2ede9de66c. Follow-up due 2026-08-15; no-response closure is not permitted before 2026-08-30 and requires delivery evidence."
ENQ-AUS-001,AUS,high,sent,2026-07-31T06:53:46Z,,docs/methods/direct-enquiries/AUS-FCFCOA.md,reviewed,"Sent from the authenticated repository-owner Gmail account to research@fcfcoa.gov.au with communication@fcfcoa.gov.au copied; controlled-mailbox message 19fb6f30e9830944. Follow-up due 2026-08-15; no-response closure is not permitted before 2026-08-30 and requires delivery evidence."
ENQ-USA-MN-001,USA-MN,high,planned,,,docs/methods/direct-enquiries/USA-MN.md,draft,"Prepared only; not sent. Statewide family categories, district coverage, series definitions, and dashboard/bulk reuse terms remain unresolved; official request routes documented."
ENQ-BRA-001,BRA,high,planned,,,docs/methods/direct-enquiries/BRA-CNJ.md,draft,"Prepared only; not sent. Family taxonomy, API/panel coverage, revision semantics, and reuse terms remain unresolved; Portuguese official contact route documented."
ENQ-ZAF-001,ZAF,high,sent,2026-07-31T06:53:46Z,,docs/methods/direct-enquiries/ZAF-OCJ.md,reviewed,"Sent from the authenticated repository-owner Gmail account to Enquiries@judiciary.org.za with Paia@judiciary.org.za copied; controlled-mailbox message 19fb6f32ced9f296. Follow-up due 2026-08-15; no-response closure is not permitted before 2026-08-30 and requires delivery evidence."
ENQ-GBR-001,GBR,high,planned,,,docs/methods/direct-enquiries/GBR.md,draft,"Prepared only; official aggregate-series scope, definitions, completeness, and reuse questions remain unresolved."
ENQ-GBR-EAW-001,GBR-EAW,high,planned,,,docs/methods/direct-enquiries/GBR-EAW.md,draft,"Prepared only; family-court series scope, definitions, completeness, and reuse questions remain unresolved."
ENQ-CAN-001,CAN,high,planned,,,docs/methods/direct-enquiries/CAN.md,draft,"Prepared only; national civil-court family scope, coverage, continuity, and reuse questions remain unresolved."
ENQ-NZL-001,NZL,high,planned,,,docs/methods/direct-enquiries/NZL.md,draft,"Prepared only; family-jurisdiction measures, completeness, revisions, and reuse questions remain unresolved."
ENQ-SGP-001,SGP,high,planned,,,docs/methods/direct-enquiries/SGP.md,draft,"Prepared only; Family Justice Courts series definitions, coverage, machine-readable access, and reuse questions remain unresolved."
