matter_type_id,parent_matter_type_id,label,definition,scope_status,version_introduced,notes
MAT_FAMILY,,Family justice matters,"Umbrella category for civil, administrative and mixed proceedings concerning family relationships, children, support, protection and relationship breakdown",core,0.3.0,Not itself used for gold observations when a more specific type is available
MAT_DIVORCE,MAT_FAMILY,Divorce dissolution and nullity,"Proceedings to dissolve, terminate or annul a marriage or legally recognised relationship",core,0.3.0,Record whether ancillary financial or parenting issues are included
MAT_PARENTING_PRIVATE,MAT_FAMILY,Private-law parenting,"Disputes between private parties about custody, residence, contact, access or parental responsibility",core,0.3.0,Terminology differs substantially across jurisdictions
MAT_CHILD_PROTECTION,MAT_FAMILY,Public-law child protection,"Proceedings in which a public authority seeks protective, care, dependency or equivalent orders concerning a child",core,0.3.0,Separate court process from child welfare service events
MAT_FAMILY_VIOLENCE_CIVIL,MAT_FAMILY,Civil family-violence protection,"Civil or quasi-civil applications for protection, restraining or intervention orders connected with family or domestic violence",core,0.3.0,Criminal prosecutions remain adjacent unless combined in source reporting
MAT_MAINTENANCE,MAT_FAMILY,Maintenance and support,"Proceedings concerning child support, spousal maintenance or equivalent financial support obligations",core,0.3.0,Administrative child-support systems may require a distinct institutional profile
MAT_PROPERTY_FINANCIAL,MAT_FAMILY,Property and financial relief,"Proceedings concerning property division, financial adjustment or ancillary relief following relationship breakdown",core,0.3.0,Do not combine with maintenance without a source flag
MAT_ADOPTION_GUARDIANSHIP,MAT_FAMILY,Adoption guardianship and kinship care,"Proceedings establishing adoption, guardianship, kinship care or comparable long-term legal responsibility",core,0.3.0,Record whether uncontested administrative approvals are included
MAT_PARENTAGE_REPRODUCTION,MAT_FAMILY,Parentage and assisted reproduction,"Proceedings determining legal parentage or selected legal consequences of assisted reproduction",core,0.3.0,Scope requires local legal verification
MAT_CROSS_BORDER_CHILDREN,MAT_FAMILY,Cross-border children matters,"International child abduction, return, access and cross-border child-protection proceedings",core,0.3.0,HCCH convention and non-convention pathways should be distinguishable
MAT_JUVENILE_CRIMINAL,,Juvenile criminal justice,"Criminal or delinquency proceedings involving children or young people",adjacent,0.3.0,Not pooled with core family-justice measures
MAT_PROBATE,,Probate and succession,"Proceedings concerning estates, succession, wills or probate",adjacent,0.3.0,Included only where reporting systems inseparably combine categories
MAT_FAMILY_VIOLENCE_CRIMINAL,,Criminal family-violence proceedings,"Criminal prosecutions or sentencing processes for family or domestic violence offences",adjacent,0.3.0,Separate from civil protection-order proceedings
