institution_id,jurisdiction_id,name,institution_type,court_level,valid_from,valid_to,status,notes
INST-CEPEJ,INT,Council of Europe CEPEJ,international justice data publisher,cross-national,,,active,Draft source-backed mapping from official landing page https://www.coe.int/en/web/cepej/cepej-stat; pending review ledger and owner adjudication.
INST-FCFCOA,AUS,Federal Circuit and Family Court of Australia,court administration,federal,,,active,Draft source-backed mapping from official landing page https://www.fcfcoa.gov.au/fl/fcoa-annual-reports; pending review ledger and owner adjudication.
INST-MNJB,USA-MN,Minnesota Judicial Branch,court administration,state,,,active,Draft source-backed mapping from official landing page https://mncourts.gov/help-topics/court-statistics; pending review ledger and owner adjudication.
INST-CNJ,BRA,Conselho Nacional de Justiça,judicial statistics authority,national,,,active,Draft source-backed mapping from official landing page https://www.cnj.jus.br/estatistica/; pending review ledger and owner adjudication.
INST-SAJUD,ZAF,South African Judiciary,judiciary,national,,,active,Draft source-backed mapping from official landing page https://www.judiciary.org.za/index.php/documents/judiciary-annual-reports; pending review ledger and owner adjudication.
INST-GBR-OFFICIAL,GBR,UK Ministry of Justice,official justice/statistics source,national,,,active,Draft source-backed mapping from browser-verified official page https://data.justice.gov.uk/courts/family-courts; pending review and owner adjudication.
INST-GBR-EAW-OFFICIAL,GBR-EAW,Ministry of Justice England and Wales,official justice/statistics source,national,,,active,Draft source-backed mapping from browser-verified official page https://www.gov.uk/government/collections/family-court-statistics-quarterly; pending review and owner adjudication.
INST-CAN-OFFICIAL,CAN,Statistics Canada Civil Court Survey,official justice/statistics source,national,,,active,Draft source-backed mapping from browser-verified official page https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5052; pending review and owner adjudication.
INST-NZL-OFFICIAL,NZL,New Zealand Ministry of Justice,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://www.justice.govt.nz/justice-sector-policy/research-data/justice-statistics/; pending review.
INST-SGP-OFFICIAL,SGP,Family Justice Courts Singapore,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://www.judiciary.gov.sg/who-we-are/statistics/caseload-statistics-2023; pending review.
INST-CAN-BC-OFFICIAL,CAN-BC,Statistics Canada Civil Court Survey,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://www150.statcan.gc.ca/n1/daily-quotidien/260326/dq260326b-eng.pdf; pending review.
INST-USA-CA-OFFICIAL,USA-CA,Judicial Council of California,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://courts.ca.gov/news-reference/research-data/court-statistics; pending review.
INST-ESP-OFFICIAL,ESP,Spanish Judiciary CGPJ,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://www.poderjudicial.es/portal/site/cgpj/menuitem.a011a24df368a6083141f040655a4ea0/?lang_choosen=en; pending review.
INST-MEX-OFFICIAL,MEX,Nuevo Leon Family Courts,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://www.pjenl.gob.mx/Estadistica/Juzgados-Familiares/; pending review.
INST-JPN-OFFICIAL,JPN,Supreme Court of Japan,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://www.courts.go.jp/toukei_siryou/shihotokei_nenpo/index.html?cc=JP; pending review.
INST-FRA-OFFICIAL,FRA,French Ministry of Justice,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://www.justice.gouv.fr/documentation/etudes-et-statistiques/references-statistiques-justice-2025; pending review.
INST-NLD-OFFICIAL,NLD,Dutch Judiciary / Rechtspraak,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://data.overheid.nl/en/dataset/1150-rechtspraak--kerncijfers--1995-2016; pending review.
INST-SWE-OFFICIAL,SWE,Swedish National Courts Administration,official justice/statistics source,national,,,active,"Source-backed mapping confirmed by official statistics-support response 19fb724483ce3802 and official page https://www.domstol.se/domstolsverket/om-sveriges-domstolar/statistik-styrning-och-utveckling/statistik/officiell-domstolsstatistik/; response states family-law statistics cover District Courts, Courts of Appeal and Supreme Court."
INST-KEN-OFFICIAL,KEN,Kenya Judiciary,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://judiciary.go.ke/wp-content/uploads/2025/12/SOJAR-2024-2025-Final-Dec-12.pdf; pending review.
INST-CHL-OFFICIAL,CHL,Poder Judicial de Chile,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://cuentapublica.pjud.cl/others/docs/9044.pdf; pending review.
INST-PHL-OFFICIAL,PHL,Supreme Court of the Philippines,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://sc.judiciary.gov.ph/year-2025/; pending review.
INST-IND-OFFICIAL,IND,National Judicial Data Grid India,official justice/statistics source,national,,,active,Draft mapping from browser-verified official page https://www.nic.gov.in/project/national-judicial-data-grid/; pending review.
INST-USA-OFFICIAL,USA,National Center for State Courts Court Statistics Project,national court statistics project,state and national aggregation,,,active,Draft mapping from official project page https://www.ncsc.org/our-centers-projects/court-statistics-project; family-specific scope and rights require review.
