indicator_id,domain,name,definition,preferred_statistic,preferred_unit,numerator,denominator,core_release,comparability_notes
DEMAND_INCOMING,demand,Incoming matters,"Matters added to the active caseload during the reporting period, with filed and reactivated components separately identifiable where possible",count,matters,incoming matters,not applicable,yes,Case/application/child count unit must match
FLOW_RESOLVED,flow,Resolved matters,Matters reaching the source-defined disposition during the reporting period,count,matters,resolved matters,not applicable,yes,Disposition definition and reopened matters must be documented
FLOW_PENDING,flow,Pending matters,Active unresolved matters at a specified date,count,matters,active pending matters,not applicable,yes,Active and inactive pending must not be combined without a flag
FLOW_CLEARANCE,flow,Clearance rate,Resolved matters divided by incoming matters for the same period and compatible case definition,rate,percent,resolved matters,incoming matters,yes,Prefer recomputation only when components are definitionally aligned
TIME_PENDING_AGE,timeliness,Age distribution of active pending caseload,Distribution of elapsed time from filing/start event to measurement date for unresolved active matters,distribution,days_or_months,pending matters by age band,active pending matters,yes,Age bands may require restricted comparison
TIME_FILE_TO_DISP_MEDIAN,timeliness,Median filing-to-disposition time,Median elapsed time from filing/start event to final source-defined disposition,median,calendar_days,elapsed time,completed matters,yes,Completed cohort and exclusions required
TIME_FILE_TO_DISP_MEAN,timeliness,Mean filing-to-disposition time,Mean elapsed time from filing/start event to final source-defined disposition,mean,calendar_days,elapsed time,completed matters,yes,Never substitute for median or pool without distribution information
TIME_FILE_TO_DISP_P90,timeliness,90th percentile filing-to-disposition time,Elapsed time by which 90% of completed matters are disposed,p90,calendar_days,elapsed time,completed matters,no,Preferred tail indicator where published
TIME_WITHIN_STANDARD,timeliness,Completed within time standard,Proportion of matters completed within the jurisdiction-defined time standard,proportion,percent,completed within standard,eligible completed matters,yes,Standard length and exclusions must travel with value
TIME_READY_TO_HEARING,timeliness,Ready-to-first-available-hearing wait,Prospective wait from a matter being ready/requested for hearing to the first routinely available date,median_or_weighted_average,calendar_days,wait to available date,eligible listings,yes,Not comparable to completed-case duration
TIME_TO_FIRST_HEARING,timeliness,Filing-to-first substantive hearing,Elapsed time from filing to first substantive judicial hearing,median,calendar_days,elapsed time,eligible matters,yes,Define substantive and treatment of urgent/interim events
TIME_URGENT_PROTECTION,timeliness,Urgent protection decision time,Elapsed time from application for urgent protective relief to first decision,median_or_threshold,hours_or_days,elapsed time,urgent applications,no,Legal urgency standards differ materially
PROCESS_ADJOURN_RATE,process,Adjournment/continuance rate,Adjourned or continued listed events as a proportion of eligible listed events,rate,percent,adjourned events,eligible listed events,yes,Event-level measure; reason categories valuable
PROCESS_HEARINGS_PER_CASE,process,Hearings per resolved matter,Number of judicial hearing events per resolved matter,mean_or_median,hearings_per_matter,hearing events,resolved matters,no,Case complexity and event coding differ
PROCESS_MEDIATION_REFERRAL,process,Mediation referral rate,Eligible matters referred to court-connected or mandated mediation,rate,percent,referred matters,eligible matters,no,Specify pre-court versus in-court service
PROCESS_MEDIATION_SETTLEMENT,process,Mediation settlement rate,Referred/attended matters reaching full or partial settlement through mediation,rate,percent,settled matters,referred_or_attended matters,yes,Denominator and partial settlement definition required
ACCESS_SELF_REP,access,Self-representation rate,Parties or matters without legal representation at a defined stage,rate,percent,unrepresented parties_or_matters,eligible parties_or_matters,yes,Party-level and matter-level rates are distinct
ACCESS_LEGAL_AID,access,Legal aid coverage,Eligible parties or matters receiving publicly funded legal assistance,rate,percent,legally aided parties_or_matters,eligible parties_or_matters,no,Eligibility and service scope differ
OUTPUT_CONSENT,outputs,Consent disposition rate,Resolved matters ending by consent/agreement rather than contested determination,rate,percent,consent dispositions,eligible resolved matters,yes,Withdrawal and administrative closure should be separate
OUTPUT_WITHDRAWN,outputs,Withdrawal/dismissal rate,"Resolved matters withdrawn, dismissed or administratively closed, with categories separate where possible",rate,percent,withdrawn_or_dismissed matters,eligible resolved matters,no,Manner-of-disposal categories must be mapped cautiously
OUTCOME_APPEAL,administrative_outcome,Appeal rate,Appeals filed from eligible final decisions,rate,percent,appeals filed,eligible final decisions,no,Appeal rights and time windows differ
