work_item_id,track_id,gate_id,title,status,priority,owner_role,deputy_role,depends_on,evidence_ids,definition_of_done,notes
WI-G1-01,T0,G1,"Host, sponsor, programme charter and owner-held decision rights are formally accepted.",accepted,P0,programme executive,repository owner and founder,,E-GOV-CHARTER,"Criterion G1-C01 is evidence-complete, reviewed and passes in the conductor.",Owner-decidable criterion accepted under the scoped single-person policy amendment; no external host or sponsor is appointed.
WI-G1-02,T1,G1,"Scope, unit of analysis, v0.3 ontology and indicator framework are approved for the pilot.",accepted,P0,methods lead,none — single-person exception; owner unavailability pauses governed decisions,,E-METHODS-SCOPE;E-INDICATOR-FRAMEWORK,"Criterion G1-C02 is evidence-complete, reviewed and passes in the conductor.",Accepted for automated technical methods review; G1 remains blocked by other required controls and gate authority.
WI-G1-03,T7,G1,"Aggregate-only public boundary, ethics principles and prohibited-data rules are accepted.",accepted,P0,security and data-governance owner,none — single-person exception; owner unavailability pauses governed decisions,,E-ETHICS-BOUNDARY;E-SECURITY-POLICY,"Criterion G1-C03 is evidence-complete, reviewed and passes in the conductor.",Accepted for G1 foundation under the 2026-08-15 owner decision; no specialist or downstream release-assurance claim.
WI-G1-04,T4,G1,"Target architecture, contracts, environments and release-authority model are approved.",accepted,P0,technical lead,none — single-person exception; owner unavailability pauses governed decisions,,E-ARCH-V1,"Criterion G1-C04 is evidence-complete, reviewed and passes in the conductor.",Accepted for repository-owned implementation under the 2026-08-15 owner decision; agents verify and the owner alone authorizes production or release.
WI-G1-05,T0,G1,"Every critical track has an accountable owner, an explicit deputy exception and escalation route.",accepted,P0,programme executive,repository owner and founder,,E-RACI;E-TRACK-CHARTERS,"Criterion G1-C05 is evidence-complete, reviewed and passes in the conductor.",Owner-decidable criterion accepted under the scoped single-person policy amendment; no human deputy is appointed and owner unavailability pauses governed decisions.
WI-G1-06,T7,G1,"Initial risk, threat, rights and disclosure-control baselines are documented.",accepted,P0,security and data-governance owner,none — single-person exception; owner unavailability pauses governed decisions,,E-RISK-REGISTER;E-THREAT-BASELINE;E-RIGHTS-BASELINE,"Criterion G1-C06 is evidence-complete, reviewed and passes in the conductor.",Accepted documented baselines for G1 under the 2026-08-15 owner decision; source-specific facts and restrictions remain separately controlled.
WI-G1-07,T4,G1,"The conductor can validate programme state, calculate gate readiness and render an evidence-linked status report.",accepted,P0,technical lead,repository owner and accountable governance authority,,E-CONDUCTOR-BASELINE,"Criterion G1-C07 is evidence-complete, reviewed and passes in the conductor.","Repository control accepted; this does not accept governance, rights, specialist assurance or G1 as a whole."
WI-G1-08,T2,G1,Pilot jurisdiction universe and source-language authoritative-triangulation strategy are approved.,accepted,P0,global census lead,repository owner and founder,,E-PILOT-UNIVERSE,"Criterion G1-C08 is evidence-complete, reviewed and passes in the conductor.",Owner approved the bounded pilot universe; actual source-language and second-review evidence remains a downstream G3/G2 condition.
WI-G1-CLOSE,T0,G1,Assemble and approve the G1 gate evidence pack,accepted,P0,programme executive,none — single-person exception; owner unavailability pauses governed decisions,WI-G1-01;WI-G1-02;WI-G1-03;WI-G1-04;WI-G1-05;WI-G1-06;WI-G1-07;WI-G1-08,,All mandatory G1 criteria pass and the gate decision is recorded.,Accepted through the digest-bound sole-owner decision dated 2026-08-15; G2-G6 and publication remain separately gated.
WI-G2-01,T2,G2,"The approved bounded pilot cohort has institutional maps, search logs and reviewed coverage states.",accepted,P1,global census lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G1-CLOSE,E-PILOT-CENSUS,"Criterion G2-C01 is evidence-complete, reviewed and passes in the conductor.",Accepted under D-G2-NEXT-UNBLOCK-20260825 within recorded bounded scope.
WI-G2-02,T3,G2,"Representative API, spreadsheet, HTML/dashboard and PDF/manual acquisition paths have reproducible manifests.",accepted,P1,acquisition lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G1-CLOSE,E-PILOT-ACQUISITION,"Criterion G2-C02 is evidence-complete, reviewed and passes in the conductor.",Accepted under D-G2-NEXT-UNBLOCK-20260825 within recorded bounded scope.
WI-G2-03,T4,G2,A representative bronze-to-silver-to-gold pipeline builds deterministically from frozen pilot inputs.,accepted,P1,technical lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G1-CLOSE,E-PILOT-PIPELINE;E-CLEAN-BUILD,"Criterion G2-C03 is evidence-complete, reviewed and passes in the conductor.","Accepted only for the frozen two-row deterministic quarantine pipeline; no methods, rights, publication, release or G2 passage."
WI-G2-04,T5,G2,"Pilot extractions and mappings have documented dual review, adjudication and quarantine outcomes.",in_review,P1,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G1-CLOSE,E-PILOT-REVIEW,"Criterion G2-C04 is evidence-complete, reviewed and passes in the conductor.","The orchestrator-bound successor produced two sealed four-row extractions, but 18 critical field differences caused terminal failure. The diagnostic advisory cannot repair or waive them; C04 remains in_review."
WI-G2-05,T1,G2,"Pilot evidence has been used to resolve material ontology, clock, denominator and missingness questions.",accepted,P1,methods lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G1-CLOSE,E-PILOT-METHODS-ADJUDICATION,"Criterion G2-C05 is evidence-complete, reviewed and passes in the conductor.",Accepted under D-G2-NEXT-UNBLOCK-20260825 within recorded bounded scope.
WI-G2-06,T7,G2,"Pilot source rights, privacy, security and disclosure assessments have no unresolved critical finding.",accepted,P1,security and data-governance owner,none — single-person exception; owner unavailability pauses governed decisions,WI-G1-CLOSE,E-PILOT-RIGHTS-SECURITY,"Criterion G2-C06 is evidence-complete, reviewed and passes in the conductor.",Accepted under D-G2-NEXT-UNBLOCK-20260825 within recorded bounded scope.
WI-G2-07,T5,G2,Blinded role-separated agent re-extraction of the pilot sample passes the approved concordance threshold and is owner-adjudicated.,in_review,P1,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G1-CLOSE,E-PILOT-INDEPENDENT-ASSURANCE,"Criterion G2-C07 is evidence-complete, reviewed and passes in the conductor.",The orchestrator-bound exact comparison passed scope/schema/seal controls but failed at 58/76 critical and 42/60 populated matches. No repair or rerun is allowed; C07 remains in_review.
WI-G2-08,T8,G2,"The pilot release process, correction path and restoration of its artefacts have been rehearsed.",accepted,P1,service and release manager,none — single-person exception; owner unavailability pauses governed decisions,WI-G1-CLOSE,E-PILOT-OPERATIONS-REHEARSAL,"Criterion G2-C08 is evidence-complete, reviewed and passes in the conductor.",Accepted for the private synthetic G2-C08 rehearsal only under D-G2-WORK-ACCEPTANCE-MAPPING-20260816 at signed commit c5fbc4922e6f7ceb983cd5b16771b4f2268d54e5; no live operations publication release readiness or G2 passage.
WI-G2-09,T2,G2,Prepare a materially distinct non-search blind-holdout method option set for future owner authorization.,accepted,P1,quality and assurance lead,none — single-person exception; owner unavailability pauses governed decisions,WI-G2-07,E-G2-METHODS-DISTINCT-PROPOSAL-20260818;E-G2-METHODS-DISTINCT-ADVISORY-REVIEW-20260819;E-G2-METHODS-DISTINCT-OPS-EXPOSURE-REVIEW-20260819;E-G2-METHODS-DISTINCT-GOV-REVIEW-20260819,"Proposal artifact with exact scope, exposure model, controls, stopping rules, resource estimate, limitations, contingencies, and draft authorization wording is prepared for role-separated panel review.","Repository-only material-distinct, non-search blind-holdout method proposal package is complete and reviewed by role-separated panels. All supporting items are accepted, and the work item is complete for the preparatory phase. No network/source access, execution authorization, or G2 passage is conferred by this status."
